name,composer
Con Alma,Dizzy Gillespie
Conception,George Shearing
Conference Of The Birds,Dave Holland
Confessin' (That I Love You),Daugherty-Neiberg-Reynolds
Confirmation,Charlie Parker
Contemplation,McCoy Tyner
Continuum,Jaco Pastorius
Cool One, The,Benny Golson
Copenhagen,Davis-Melrose
Coral,Keith Jarrett
Corcovado,Antonio-Carlos Jobim
Core, The,Freddie Hubbard
Cottage For Sale,Willard Robison
Cottontail,Duke Ellington
Could It Be You,Cole Porter
Countdown,John Coltrane
Country,Keith Jarrett
Cousin Mary,John Coltrane
Crazy He Calls Me,Carl Sigman
Crazy Rhythm,Wolfe-Kahn-Meyer
Creole Love Call,Duke Ellington
Crepuscule With Nellie,Thelonious Monk
Crisis,Freddie Hubbard
Criss Cross,Thelonious Monk
Crosscurrent,Lennie Tristano
Cry Me A River,Arthur Hamilton
Crystal Silence,Chick Corea
Cute,Neal Hefti
Cyclic Episode,Sam Rivers
Cynthia's In Love,Owens-White-Gish
Daahoud,Clifford Brown
Dance Of The Infidels,Bud Powell
Dancing In The Dark,Arthur Schwartz
Dancing On The Ceiling,Richard Rodgers
Danny Boy,Traditional
Darn That Dream,Jimmy Van-Heusen
Dat Dere,Bobby Timmons
Day By Day,Cahn-Stordahl-Weston
Day Dream,Strayhorn-Ellington
Day Dreaming,Jerome Kern
Day In, Day Out,Rube Bloom
Daybreak,Adamson-Grofe
Days And Nights Waiting,Keith Jarrett
Days Of Wine And Roses,Henry Mancini
Dear Lord,John Coltrane
Dear Old Stockholm,Traditional
Dearly Beloved,Jerome Kern
Decision,Sonny Rollins
Dedicated To You,Cahn-Chaplin-Zaret
Deed I Do,Hirsch-Rose
Deep Purple,Peter De-Rose
Del Sasser,Sam Jones
Deluge,Wayne Shorter
Desafinado,Antonio-Carlos Jobim
Desafinado (Original),Antonio-Carlos Jobim
Detour Ahead,Herb Ellis
Devil May Care,Dorough-Kirk
Dewey Square,Charlie Parker
Dexterity,Charlie Parker
Diane,Rapee-pollack
Dienda,Kenny Kirkland
Dig,Miles Davis
Dinah,Harry Akst
Dindi,Antonio-Carlos Jobim
Diverse,Charlie Parker
Django,John Lewis
Do Nothin' Til You Hear From Me,Duke Ellington
Do You Know What It Means?,Louis Alter
Dolores,Wayne Shorter
Dolphin Dance,Herbie Hancock
Dolphin, The,Luiz Eca
Domingo,Benny Golson
Don't Be That Way,Edgar Sampson
Don't Blame Me,Jimmy McHugh
Don't Explain,Billie Holiday
Don't Fence Me In,Cole Porter
Don't Get Around Much Anymore,Duke Ellington
Don't Go To Strangers,Kent-Mason-Evans
Don't Know Why,Jesse Harris
Don't Misunderstand,Gordon Parks
Don't Take Your Love From Me,Henry Nemo
Don't Worry 'Bout Me,Rube Bloom
Donna Lee,Charlie Parker
Down By The Riverside,Traditional
Down For Double,Freddie Green
Down In The Depths,Cole Porter
Doxy,Sonny Rollins
Dream,Johnny Mercer
Dream A Little Dream Of Me,Schwendt-Andre-Kahn
Dream Dancing,Cole Porter
Dreamsville,Henry Mancini
Driftin',Herbie Hancock
Duke, The,Dave Brubeck
E.S.P.,Wayne Shorter
Early Autumn,Burns-Herman
East Of The Sun,Brooks Bowman
Easy Living,Ralph Rainger
Easy Street,Alan Jones
Easy To Love,Cole Porter
Ecaroh,Horace Silver
Eclypso,Tommy Flanagan
Eiderdown,Steve Swallow
Eighty One,Ron Carter
El Cajon,Johnny Mandel
El Gaucho,Wayne Shorter
Elora,J.J. Johnson
Embraceable You,George Gershwin
Emily,Johnny Mandel
End Of A Love Affair, The,Edward Redding
Epilogue,Bill Evans
Epistrophy,Thelonious Monk, Kenny Clarke
Equinox,John Coltrane
Eronel,Thelonious Monk
Estate,Bruno Martino
Eternal Triangle,Sonny Stitt
Ev'ry Time We Say Goodbye,Cole Porter
Everybody's Song But My Own,Kenny Wheeler
Everything Happens To Me,Matt Dennis
Everything I Have Is Yours,Burton Lane
Everything I Love,Cole Porter
Everything I've Got Belongs To You,Rodgers-Hart
Evidence,Thelonious Monk
Exactly Like You,Jimmy McHugh
Eye of the Hurricane,Herbie Hancock
Fall,Wayne Shorter
Falling Grace,Steve Swallow
Falling In Love Again,Frederick Hollander
Falling In Love With Love,Richard Rodgers
Fantasy in D (or Ugetsu),Cedar Walton
Farmer's Trust,Pat Metheny
Fascinating Rhythm,George Gershwin
Fascination,Fernando-Dante Marchetti
Favela,Antonio-Carlos Jobim
Fee-Fi-Fo-Fum,Wayne Shorter
Feel Like Makin' Love,Eugene McDaniels
Feels So Good,Chuck Mangione
Fever,Davenport-Cooley
Fine And Dandy,Kay Swift
Fine And Mellow,Billie Holiday
Five Brothers,Gerry Mulligan
Flamingo,Ted Grouya
Flintstones,Hoyt Curtain
Fly Me To The Moon,Bart Howard
Flying Home,Goodman-Hampton
Folks Who Live On The Hill, The,Jerome Kern
Fools Rush In,Rube Bloom
Footprints,Wayne Shorter
For All We Know,Fred Coots
For Heaven's Sake,Edwards-Meyer-Bretton
For Jan,Kenny Wheeler
For Minors Only,Jimmy Heath
For Once In My Life,Orlando Murden
For Sentimental Reasons,William Best
For You, For Me, For Evermore,George Gershwin
Forest Flower,Charles Lloyd
Forever Sonny,Jimmy Heath
Four,Miles Davis
Four Brothers,Jimmy Giuffre
Four In One,Thelonious Monk
Four On Six,Wes Montgomery
Freckle Face,Sammy Nestico
Freddie Freeloader,Miles Davis
Freight Train,Tommy Flanagan
Frenesi,Alberto Dominguez
Friday The 13th,Thelonious Monk
Frim Fram Sauce, The,Joe Richardel
From This Moment On,Cole Porter
Full House,Wes Montgomery
Funk In Deep Freeze,Hank Mobley
Funkallero,Bill Evans
Gallop's Gallop,Thelonious Monk
Gary's Notebook,Lee Morgan
Gee Baby, Ain't I Good To You,Don Redman
Gentle Rain, The,Luiz Bonfa
Gentle Wind And Falling Tear,Gary Burton
Georgia On My Mind,Hoagy Carmichael
Get Happy,Harold Arlen
Get Me To The Church On Time,Alan Lerner
Get Out Of Town,Cole Porter
Giant Steps,John Coltrane
Girl From Ipanema, The,Antonio-Carlos Jobim
Girl Talk,Neal Hefti
Give Me The Simple Life,Rube Bloom
Glad To Be Unhappy,Rodgers-Hart
Gloria's Step,Scott LaFaro
Glory Of Love, The,Billy Hill
God Bless The Child,Herzog-Holiday
Godchild,George Wallington
Golden Earring,Jay Livingston
Gone With The Wind,Allie Wrubel
Good Bait,Tadd Dameron
Good Life, The,Sacha Distel
Good Morning Heartache,Drake-Fisher-Higginbotham
Goodbye,Gordon Jenkins
Goodbye Pork Pie Hat,Charles Mingus
Got A Match?,Chick Corea
Grand Central,John Coltrane
Gravy Waltz, The,Ray Brown
Green Chimneys,Thelonious Monk
Gregory Is Here,Horace Silver
Groovin' High,Dizzy Gillespie
Hackensack,Thelonious Monk
Half Nelson,Miles Davis
Hallelujah I Just Love Him So,Ray Charles
Hallucinations,Bud Powell
Happiness Is A Thing Called Joe,Harold Arlen
Happy Little Sunbeam,Russ Freeman
Harlequin,Wayne Shorter
Haunted Heart,Arthur Schwartz
Have You Met Miss Jones?,Richard Rodgers
He's A Tramp,Lee-Burke
Heart And Soul,Hoagy Carmichael
Heatwave,Irving Berlin
Hello,Milt Jackson
Hello Dolly,Jerry Herman
Hello Young Lovers,Richard Rogers
Here's That Rainy Day,Jimmy Van-Heusen
Here's That Sunny Day,Barney Kessel
Here's To Life,Artie Butler
Heyoke,Kenny Wheeler
High Fly,Randy Weston
High Hopes,Jimmy Van-Heusen
Hocus-Pocus,Lee Morgan
Home At Last,Hank Mobley
Home Cookin',Horace Silver
Homecoming,Dave Holland
Honeysuckle Rose,Fats Waller
Horace-Scope,Horace Silver
Hot House,Tadd Dameron
House Of Jade,Wayne Shorter
How About You,Burton Lane
How Are Things In Glocca Morra,Burton Lane
How Deep Is The Ocean,Irving Berlin
How High The Moon,Morgan Lewis
How Insensitive,Antonio-Carlos Jobim
How Little We Know,Hoagy Carmichael
How Long Has This Been Going On?,George Gershwin
How My Heart Sings,Earl Zindars
Humpty Dumpty,Chick Corea
Hungaria,Django Reinhardt
I Ain't Got Nobody,Graham-Williams
I Believe In You,Frank Loesser
I Can't Believe...You're In Love...,Jimmy McHugh
I Can't Get Started,Vernon Duke
I Can't Give You Anything But Love,Jimmy McHugh
I Concentrate On You,Cole Porter
I Could Have Danced All Night,Frederick Loewe
I Could Write A Book,Richard Rodgers
I Cover The Waterfront,Johnny Green
I Cried For You,Freed-Arnheim-Lyman
I Didn't Know About You,Duke Ellington
I Didn't Know What Time It Was,Richard Rodgers
I Don't Know Enough About You,Peggy Lee
I Don't Want To Miss Mississippi,Serger Ellis
I Fall In Love Too Easily,Jule Styne
I Found A New Baby,Palmer-Williams
I Get A Kick Out Of You,Cole Porter
I Get Along Without You,Hoagy Carmichael
I Got It Bad,Duke Ellington
I Got Rhythm,George Gershwin
I Got The Sun In The Morning,Irving Berlin
I Gotta Right To Sing The Blues,Harold Arlen
I Guess I'll Hang My Tears Out To Dry,Jule Styne
I Guess I'll Have To Change My Plan,Arthur Schwartz
I Hadn't Anyone Till You,Ray Noble
I Have Dreamed,Rodgers-Hammerstein
I Hear A Rhapsody,Fragos-Baker-Gasparre
I Hear Music,Burton Lane
I Left My Heart In San Francisco,George Cory
I Let A Song Go Out Of My Heart,Duke Ellington
I Like The Likes Of You,Vernon Duke
I Love Being Here With You,Bill Schluger, Peggy Lee
I Love Paris,Cole Porter
I Love You,Cole Porter
I Loves You Porgy,George Gershwin
I May Be Wrong,Henry Sullivan
I Mean You,Thelonious Monk
I Only Have Eyes For You,Harry Warren
I Remember Clifford,Benny Golson
I Remember You,Victor Schertzinger
I See Your Face Before Me,Arthur Schwartz
I Should Care,Cahn-Stordahl-Weston
I Surrender Dear,Harry Barris
I Think Of You,Elliot-Marcotte
I Thought About You,Jimmy Van-Heusen
I Used To Be Color Blind,Irving Berlin
I Want To Be Happy,Vincent Youmans
I Want To Talk About You,Billy Eckstine
I Was Doing All Right,George Gershwin
I Will Wait For You,Michel Legrand
I Wish I Knew,Harry Warren
I Wish I Knew How It Would Feel To Be Free,Billy Taylor
I Wish I Were In Love Again,Richard Rodgers
I Wish You Love,Charles Trenet
I Won't Dance,Jerome Kern
I'll Be Around,Alec Wilder
I'll Be Seeing You,Sammy Fain
I'll Close My Eyes,Reid-Kaye
I'll Get By (As Long As I Have You),Ahlert-Turk
I'll Never Be The Same,Khan-Malneck-Signorelli
I'll Only Miss Her When I Think Of Her,Cahn-VanHeusen
I'll Remember April,Raye-DePaul
I'll See You In My Dreams,Jones-Kahn
I'll Take Romance,Ben Oakland
I'm A Fool To Want You,Herron-Sinatra-Wolf
I'm All Smiles,Leonard-Martin
I'm Always Chasing Rainbows,Harry Carroll
I'm Beginning To See The Light,Hodges-James-Ellington
I'm Confessin' That I Love You,Reynolds-Daugherty
I'm Getting Sentimental Over You,George Bassman
I'm Glad There Is You,Jimmy Dorsey
